Event_Code,LocCode,Location,Code,RMI,Year,Date,Dup,Solids_DF,Z_Solids_DF,Moisture_DF,Z_Moisture_DF,LOI_DF,Z_LOI_DF,NO3_mg_Kg,Z_NO3_mg_Kg,NH4_mg_Kg,Z_NH4_mg_Kg,RP_mg_Kg,Z_RP_mg_Kg,N_mg_Kg,Z_N_mg_Kg,C_mg_Kg,Z_C_mg_Kg,pH,Z_pH,TP_mg_Kg,Z_TP_mg_Kg,PerN,Z_PerN,PerC,Z_PerC,TKN_mg_kg,Z_TKN_mg_kg,NO3_NO2_mg_kg,Z_NO3_NO2_mg_kg
281.6RDB070511,OH281.6RDBa,OH281.6RDB,a,281.6,2011,7/26/2011,N,0.776,1.059030933,0.224,-1.059030933,0.021,-1.128768997,,-6.505382387,6,-0.72650945,13,-0.137360564,602.3,-0.549782539,5500,-1.341358485,7.36,0.038478441,320,-1.220977089,0.06023,-0.549782539,0.55,-1.341358485,600,-0.546850691,2.3,-0.735682172
281.6RDB070511,OH281.6RDBa,OH281.6RDB,a,281.6,2011,7/26/2011,Y,0.782,1.220578024,0.218,-1.220578024,0.026,-0.640359335,4,-0.848528137,5,-0.847819006,13,-0.137360564,424.1,-1.075536063,7900,-1.06006389,7.35,-0.004809805,360,-0.857711178,0.04241,-1.075536063,0.79,-1.06006389,420,-1.077328608,4.1,0.942916587
283.0RDB070511,OH283.0RDB,OH283.0RDB,,283.0,2011,7/26/2011,N,0.731,-0.152572253,0.269,0.152572253,0.044,1.117915449,,-6.505382387,6.2,-0.702247539,17,3.159292971,942.2,0.453043628,27000,1.178572261,7.19,-0.697421735,620,1.503517242,0.09422,0.453043628,2.7,1.178572261,940,0.45516315,2.2,-0.828937659
288.2RDB070611,OH288.2RDB,OH288.2RDB,,288.2,2011,7/28/2011,N,0.725,-0.314119344,0.275,0.314119344,0.041,0.824869652,,-6.505382387,15,0.365276551,13,-0.137360564,932.2,0.423540063,24000,0.826954017,7.19,-0.697421735,450,-0.040362879,0.09322,0.423540063,2.4,0.826954017,930,0.425692155,2.2,-0.828937659
290.2RDB070611,OH290.2RDBa,OH290.2RDB,a,290.2,2011,7/28/2011,N,0.771,0.924408356,0.229,-0.924408356,0.021,-1.128768997,,-6.505382387,5.4,-0.799295183,14,0.68680282,343.6,-1.31303976,8700,-0.966299025,7.46,0.471360896,310,-1.311793567,0.03436,-1.31303976,0.87,-0.966299025,340,-1.313096571,3.6,0.476639154
292.4LDB070611,OH292.4LDB,OH292.4LDB,,292.4,2011,7/28/2011,N,0.706,-0.825685134,0.294,0.825685134,0.036,0.33645999,,-6.505382387,14,0.243966995,12,-0.961523948,813.4,0.073037714,21000,0.475335774,7.17,-0.783998226,540,0.77698542,0.08134,0.073037714,2.1,0.475335774,810,0.072040211,3.4,0.290128181
299.3LDB070711,OH299.3LDB,OH299.3LDB,,299.3,2011,7/28/2011,N,0.712,-0.664138043,0.288,0.664138043,0.035,0.238778057,,-6.505382387,9.4,-0.314056961,13,-0.137360564,1302.3,1.515466996,13000,-0.462312876,7.36,0.038478441,590,1.231067809,0.13023,1.515466996,1.3,-0.462312876,1300,1.516118983,2.3,-0.735682172
307.3LDB070711,OH307.3LDB,OH307.3LDB,,307.3,2011,7/28/2011,N,0.75,0.358993536,0.25,-0.358993536,0.034,0.141096125,,-6.505382387,9.8,-0.265533138,13,-0.137360564,1402.3,1.810502644,11000,-0.696725038,7.48,0.557937388,480,0.232086554,0.14023,1.810502644,1.1,-0.696725038,1400,1.810828936,2.3,-0.735682172
309.1RDB070611,OH309.1RDB,OH309.1RDB,,309.1,2011,7/28/2011,N,0.712,-0.664138043,0.288,0.664138043,0.037,0.434141922,,-6.505382387,14,0.243966995,13,-0.137360564,742.2,-0.137027668,19000,0.240923611,7.28,-0.307827524,500,0.41371951,0.07422,-0.137027668,1.9,0.240923611,740,-0.134256757,2.2,-0.828937659
311.6LDB070611,OH311.6LDBa,OH311.6LDB,a,311.6,2011,7/28/2011,N,0.743,0.17052193,0.257,-0.17052193,0.033,0.043414192,,-6.505382387,12,0.001347884,12,-0.961523948,763.5,-0.074185075,20000,0.358129693,7.45,0.428072651,410,-0.40362879,0.07635,-0.074185075,2,0.358129693,760,-0.075314766,3.5,0.383383667
313.6RDB070711,OH313.6RDB,OH313.6RDB,,313.6,2011,7/28/2011,N,0.785,1.30135157,0.215,-1.30135157,0.023,-0.933405132,,-6.505382387,11,-0.119961672,13,-0.137360564,612.3,-0.520278974,10000,-0.813931119,7.28,-0.307827524,400,-0.494445268,0.06123,-0.520278974,1,-0.813931119,610,-0.517379696,2.3,-0.735682172
316.8RDB070711,OH316.8RDB,OH316.8RDB,,316.8,2011,7/27/2011,N,0.716,-0.556439982,0.284,0.556439982,0.037,0.434141922,,-6.505382387,18,0.729205218,13,-0.137360564,982.2,0.571057887,16000,-0.110694632,7.34,-0.048098051,530,0.686168943,0.09822,0.571057887,1.6,-0.110694632,980,0.573047132,2.2,-0.828937659
318.9RDB070711,OH318.9RDB,OH318.9RDB,,318.9,2011,7/27/2011,N,0.634,-2.764250231,0.366,2.764250231,0.053,1.997052841,,-6.505382387,26,1.699681663,15,1.510966203,1203.4,1.22367674,32000,1.764602667,7.19,-0.697421735,610,1.412700764,0.12034,1.22367674,3.2,1.764602667,1200,1.221409029,3.4,0.290128181
321.1RDB072511,OH321.1RDBa,OH321.1RDB,a,321.1,2011,7/25/2011,N,0.754,0.466691597,0.246,-0.466691597,0.023,-0.933405132,5.4,1.13137085,6.2,-0.702247539,13,-0.137360564,505.6,-0.83508201,16000,-0.110694632,7.8,1.943161247,360,-0.857711178,0.05056,-0.83508201,1.6,-0.110694632,500,-0.841560645,5.6,2.341748886
322.0LDB072511,OH322.0LDBb,OH322.0LDB,b,322.0,2011,7/25/2011,N,0.769,0.870559326,0.231,-0.870559326,0.018,-1.421814794,,-6.505382387,7,-0.605199894,12,-0.961523948,172.4,-1.818140789,4900,-1.411682134,7.99,2.765637913,250,-1.856692433,0.01724,-1.818140789,0.49,-1.411682134,170,-1.814103491,2.4,-0.642426686
329.2RDB072611,OH329.2RDB,OH329.2RDB,,329.2,2011,7/26/2011,N,0.692,-1.202628347,0.308,1.202628347,0.049,1.606325111,,-6.505382387,38,3.155396331,14,0.68680282,1202.3,1.220431348,35000,2.116220911,7.09,-1.13030419,600,1.321884287,0.12023,1.220431348,3.5,2.116220911,1200,1.221409029,2.3,-0.735682172
331.8LDB072611,OH331.8LDB,OH331.8LDB,,331.8,2011,7/26/2011,N,0.736,-0.017949677,0.264,0.017949677,0.037,0.434141922,5.2,0.848528137,7.4,-0.556676072,12,-0.961523948,835.4,0.137945556,22000,0.592541855,7,-1.519898401,480,0.232086554,0.08354,0.137945556,2.2,0.592541855,830,0.130982202,5.4,2.155237913
337.6RDB072711,OH337.6RDBa,OH337.6RDB,a,337.6,2011,7/27/2011,N,0.766,0.78978578,0.234,-0.78978578,0.018,-1.421814794,3.8,-1.13137085,5.4,-0.799295183,12,-0.961523948,413.9,-1.105629699,12000,-0.579518957,7.34,-0.048098051,370,-0.766894701,0.04139,-1.105629699,1.2,-0.579518957,410,-1.106799603,3.9,0.756405614
