Type,Name,Longitude,Latitude,Elevation,River Code,Pool,RMI,Bank,State,County,HUC,Drainage Area,WQX Code,USGS Code,NWS Code,USACE Code,ORSANCO Code,Description
Transect,T-1,-82.185,38.663,,OH,Greenup,280.5,,,,,,,,,,,"Immediately below locks, wherever you think its well mixed and safe"
Transect,T-2,-82.170,38.620,,OH,Greenup,283.7,,,,,,,,,,,"~3 miles, Ashton WWTP"
Transect,T-3,-82.202,38.590,,OH,Greenup,286.5,,,,,,,,,,,"~3.5 miles, agriculture"
Transect,T-4,-82.252,38.597,,OH,Greenup,289.4,,,,,,,,,,,"~3.5 miles, agriculture"
Transect,T-5,-82.292,38.563,,OH,Greenup,293.0,,,,,,,,,,,"~ 3.5 miles, Crown City"
Transect,T-6,-82.301,38.518,,OH,Greenup,296.2,,,,,,,,,,,"~ 3 miles, agriculture, light urban"
Transect,T-7,-82.312,38.469,,OH,Greenup,299.7,,,,,,,,,,,"~4 miles, last agriculture, light urban"
Transect,T-8,-82.375,38.434,,OH,Greenup,304.3,,,,,,,,,,,"urban, upstream of Guyandotte, downstream of Rome, be downstream of Paddy Creek on Ohio side"
Transect,T-9,-82.419,38.433,,OH,Greenup,306.8,,,,,,,,,,,"urban, downstream of Guyandotte"
Transect,T-10,-82.468,38.421,,OH,Greenup,309.7,,,,,,,,,,,"urban, still Huntington"
Transect,T-11,-82.524,38.404,,OH,Greenup,313.0,,,,,,,,,,,"urban, upstream of Twelvepole"
Transect,T-12,-82.553,38.401,,OH,Greenup,314.5,,,,,,,,,,,"urban, downstream of Twelvepole"
Transect,T-13,-82.589,38.414,,OH,Greenup,316.7,,,,,,,,,,,"industrial, upstream of Big Sandy, dnstrm Kenova"
Transect,T-14,-82.602,38.434,,OH,Greenup,318.4,,,,,,,,,,,"industrial, downstream Big Sandy"
Transect,T-15,-82.610,38.467,,OH,Greenup,320.6,,,,,,,,,,,"industrial, upstream Ashland"
Transect,T-16,-82.654,38.493,,OH,Greenup,323.7,,,,,,,,,,,"industrial, urban, downstream Ashland, upstream Hood Creek & Ice Creek"
Transect,T-17,-82.667,38.504,,OH,Greenup,324.8,,,,,,,,,,,"industrial, urban, upstream Ironton"
Transect,T-18,-82.692,38.536,,OH,Greenup,327.5,,,,,,,,,,,"industrial, urban, Ironton, upstream Storms Creek"
