Date ,Time,Location ,Task ,Sonde in Place Now,Sonde Replacement Time,Current Deployment,Depth measurment (m),Notes
7/27/17,10:00:00 AM,RCB,Install of Equipment,1,N/A,D1 test ,,Install completed -Greg and Logan present 
8/8/17,10:00:00 AM,RCB,REU Workshop Swtich out sonde 1 to2,2,10:35,D1,,"Sonde unexpectedly clean, simply hooked up sonde 2 and deployed, gave a small lesson to REU students "
9/6/17,11:15:00 AM,RCB,Switch out O2 and Turbidity probes and put a cap on and cleaned PVC pipe,2,11:55,D2,,"Sonde was quite dirty but didn't have time to clean, optics were clean, nothing unexpected, need to take pics, pipe was cleaned and cap installed, wiper did not want to work from the dash board but worked when taking a reading, logging was also changed to 15mins, probes were hard to get out as O-ring seemed to have gotten wedged in the threads  "
10/6/17,10:45:00 AM,RCB,Switch out sonde 2 to 1,1,11:15,D3,,"Sonde was quite dirty, drift checked it at 10:27, cleaned everything after, we moved the pipe up what we approximated to be a ft. but seems to be very close to the greenup depth regardless, new sonde was in for the 11:15 reading, readings at 10:45 and 11:00 am indicate it was out of the water due to depth "
11/3/17,11:00:00 AM,RCB,Switch out sonde 1 to 3 ,3,11:30,D4,,"Sonde was quite dirty but optics were clean, there was a small flathead catfish in the bottom of the guard, we don't know how long it had been in there, depth may have definitely been affected during the drift check as the sonde in place was reading rather shallow in comparison to the one in now, the location was cleaned by shoving off some of the surround mud and soil into the water, turbidity affects maybe seen through the day as a result, sonde was out of the ater the entire time during the shoveling, the sonde was taken out after the 10:45 drift check, the new sonde didnt go in until around 11:30, the time set for the new deployment was set at -5UTC to adjust for daylight savings time on the following Sunday -Josh present "
12/1/17,10:30:00 AM,RCB,Switch out sonde 3 to 2,2,10:30,RCB_D5,,"Sonde in place now (2) was not calibrated at the 124NTU as a result of being out of solution, it was calibrate at 0 with DI for a 1 point, sonde in place was rather clean, there was a small war mouth sunfish in the bottom of the guard, don’t know how long it has been there, drift check was done for the 10:42 reading, everything went smooth and quick, it was cold outside, Josh present "
1/26/18,1:30:00 PM,RCB,Switch out sonde 2 to 1,N/A,N/A,N/A,,"Something had hit the PVC pipe and bowed the clamps out making it loose and could possibly allow the PVC pipe to slide through, only 2 zip ties kept it from doing so, Sonde in place also had 2 sunfish in the probe guard, it wasn't as dirty as expected though, a standard drift check and a SXS were performed, although both sondes were brought back to marshall along with the PVC to be cleaned and add a tape measure. Logan Josh and Hunter present "
2/9/18,1:30:00 PM,RCB,Install sonde 1 and remount PVC pipe,1,3:00,RCB_D6,1,"PVC pipe was reinstalled with tape measure on it now using the exsisting holes but 2 clamps doubled up this time, it was installed at approximately 39.5"" (1m) with respect to the bar which the sonde guard rests on, a measurement was taken for chlorophyll in the bucket that the grab samples were taken from, the sonde was then put in the PVC pipe and recalibrated for depth using an offset of 1m and zeroing it, the sonde was then hooked back up to the data logger and everything was reinstalled as usual. we waited until 3:00 to make sure the logger was able to connect to the laptop, this sonde was not calibrated for conductivity the day before but was 2 weeks ago before it was planned to go out last time (I assumed the condictivity probe to be resilient enough to have held the calibration with no drift in addition i wanted to conserve calibration solution therefroe i didn't calibrate the probe), all other probes were calibrated as normal, Logan and Hunter were present "
3/27/18,1:00:00 PM,RCB,Switch out sonde 1 to 3 ,3,2:00,RCB_D7,1.016,"A sxs drift check was done both with the field sonde in place and one sample taken and then ran for a few minutes together, there were 3 small sunfish in the probe guard and it was single sample drift check with them in there, Logan worked on getting chlorophyll samples along with readings from the magic wand (there were relatively close), he asissted with the drift check of running them for several minutes, then the new sonde was placed in the pipe and calibrated for depth at 1.016m as the tape measure indicated it at 41"", the sonde was then programed and hooked up, a barge passed by at about 2:25 as we were leaving, we could see mud stirred up as it went passed in the sonde placement area, everything seemed to go smooth, Logan present"
4/26/18,1:30:00 PM,RCB,Switch out sonde 3 to 2,2,2:45,RCB_D8,1.09,"Site was extremely muddy, drift meaurements were difficult due to keeping the sondes held in place in the water but both were performed, there were no fish or anything in the sonde guard, I did forget to wrap the sonde guard with tape as I did at Greenup to keep fish out, overall everything went smooth, no real problems other than dealing with the mud, Logan seemed to get all his stuff together fine, Logan present"
