Transect,Date,Time,PAR,PAR_MIN,PAR_MAX,BATT,SITE,CHK
T-1,8/29/2018,8:35:47 AM,336.71,329.49,340.67,5.16,1XS ,137
T-1,8/29/2018,8:36:26 AM,139.7,136.9,144.37,5.16,101,54
T-1,8/29/2018,8:36:57 AM,27.721,27.57,27.829,5.16,102,72
T-1,8/29/2018,8:37:23 AM,6.4332,6.4014,6.5359,5.16,103,53
T-1,8/29/2018,8:37:51 AM,1.6713,1.6398,1.6667,5.15,104,66
T-1,8/29/2018,8:38:32 AM,0.40632,0.40126,0.41257,5.15,1XB ,243
T-1,8/29/2018,9:02:08 AM,483.35,471.87,495.15,5.14,2XS ,130
T-1,8/29/2018,9:02:39 AM,39.305,39.08,39.383,5.14,201,54
T-1,8/29/2018,9:03:03 AM,8.6897,8.6015,8.7827,5.15,202,74
T-1,8/29/2018,9:03:51 AM,503.39,502.94,530.57,5.15,2XS ,123
T-1,8/29/2018,9:04:14 AM,191.82,191.27,195.08,5.15,201,56
T-1,8/29/2018,9:04:33 AM,38.614,38.369,39.156,5.15,202,70
T-1,8/29/2018,9:04:53 AM,8.6248,8.5903,8.7144,5.15,203,77
T-1,8/29/2018,9:05:20 AM,1.9174,1.9105,1.9302,5.15,204,43
T-1,8/29/2018,9:05:42 AM,0.46429,0.45501,0.47572,5.15,205,206
T-1,8/29/2018,9:06:02 AM,0.093492,0.06856,0.10807,5.15,206,49
T-1,8/29/2018,9:26:10 AM,507.13,501.88,513.49,5.08,4XS ,120
T-1,8/29/2018,9:26:40 AM,206.33,204.98,208.85,5.08,401,51
T-1,8/29/2018,9:27:00 AM,34.973,34.637,35.089,5.08,402,65
T-1,8/29/2018,9:27:23 AM,6.9416,6.8342,7.0645,5.08,403,70
T-1,8/29/2018,9:27:47 AM,1.2328,1.2149,1.2457,5.08,404,60
T-1,8/29/2018,9:28:12 AM,0.2699,0.26495,0.27473,5.08,405,223
T-1,8/29/2018,9:28:46 AM,0.27362,0.26111,0.28873,5.08,4XB ,14
T-1,8/29/2018,10:06:27 AM,715.92,692.23,746.64,5.08,3XS ,130
T-1,8/29/2018,10:06:54 AM,307.86,306.13,310.65,5.1,301,30
T-1,8/29/2018,10:07:12 AM,57.859,57.956,60.008,5.1,302,56
T-1,8/29/2018,10:07:31 AM,14.714,13.868,14.678,5.1,303,49
T-1,8/29/2018,10:07:50 AM,3.4548,3.2105,3.6129,5.1,304,40
T-1,8/29/2018,10:08:09 AM,0.78121,0.7653,0.79195,5.11,305,208
T-1,8/29/2018,10:08:36 AM,0.20444,0.14794,0.2143,5.11,3XB ,241
T-2,8/29/2018,10:52:30 AM,1078.7,1052.1,1145.1,5.11,1XS ,88
T-2,8/29/2018,10:53:06 AM,535.07,520.74,545.54,5.12,101,39
T-2,8/29/2018,10:53:26 AM,138.89,137.59,139.99,5.13,102,69
T-2,8/29/2018,10:53:58 AM,32.06,31.506,32.906,5.13,103,38
T-2,8/29/2018,10:54:26 AM,8.1239,7.6927,8.2356,5.13,104,70
T-2,8/29/2018,10:54:55 AM,2.1486,2.1987,2.2704,5.13,105,60
T-2,8/29/2018,10:55:15 AM,1.1438,1.146,1.2022,5.13,1XB ,85
T-2,8/29/2018,11:17:14 AM,658.28,654.62,756.78,5.12,2XS ,135
T-2,8/29/2018,11:18:08 AM,303.38,278.99,314.95,5.13,201,59
T-2,8/29/2018,11:18:31 AM,76.871,70.252,82.338,5.13,202,53
T-2,8/29/2018,11:18:59 AM,17.664,17.527,18.417,5.13,203,64
T-2,8/29/2018,11:19:19 AM,5.5354,5.0387,5.5759,5.13,204,73
T-2,8/29/2018,11:19:39 AM,2.1371,2.0707,2.4038,5.13,205,49
T-2,8/29/2018,11:19:58 AM,0.63245,0.61162,0.65036,5.13,206,206
T-2,8/29/2018,11:20:13 AM,0.32225,0.070593,0.33775,5.12,2XB ,32
T-2,8/29/2018,11:38:14 AM,213.03,216.1,222.81,5.11,3XS ,87
T-2,8/29/2018,11:38:42 AM,95.883,94.056,99.244,5.12,301,68
T-2,8/29/2018,11:39:00 AM,22.952,22.613,23.578,5.12,302,40
T-2,8/29/2018,11:39:20 AM,6.4252,6.2418,6.5458,5.13,303,55
T-2,8/29/2018,11:39:45 AM,1.5143,1.4844,1.5395,5.13,304,55
T-2,8/29/2018,11:40:07 AM,0.35123,0.34103,0.36174,5.12,305,179
T-2,8/29/2018,11:40:26 AM,0.062598,0.04971,0.081929,5.13,306,106
T-2,8/29/2018,12:03:30 PM,196.15,194.13,199.85,5.1,4XS ,116
