Transect,Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,Cable Pwr V,ODO % sat,ODO mg/L,Chlorophyll RFU,Chlorophyll µg/L,BGA-PC RFU,BGA-PC µg/L,Temp °C,Cond µS/cm,SpCond µS/cm,Sal psu,nLF Cond µS/cm,TDS mg/L,Turbidity NTU,TSS mg/L,pH,pH mV,Press psi a,Depth m
T-1,8/29/2018,8:27:16,0.001,Test,0,5.7,11.5,92,7.35,0.91,3.67,0.27,0.23,26.763,442.1,427.7,0.2,426.2,278,8.8,0,7.73,-79.6,0.329,0.442
T-1,8/29/2018,8:27:53,0.748,1XS,0,5.7,11.5,91,7.27,0.96,3.86,0.25,0.2,26.814,442.6,427.8,0.2,426.2,278,8.74,0,7.65,-75.3,0.41,0.499
T-1,8/29/2018,8:30:08,0.394,101,0,5.7,11.5,90.7,7.24,0.87,3.48,0.21,0.17,26.828,442.5,427.6,0.2,426,278,8.9,0,7.63,-74,1.083,0.974
T-1,8/29/2018,8:31:23,0.295,102,0,5.7,11.5,90.4,7.21,0.84,3.36,0.21,0.17,26.83,442.6,427.6,0.2,426,278,8.9,0,7.63,-73.9,2.444,1.934
T-1,8/29/2018,8:32:48,0.125,103,0,5.7,11.5,90.1,7.2,0.85,3.43,0.18,0.13,26.831,442.5,427.6,0.2,426,278,8.97,0,7.62,-73.6,3.848,2.925
T-1,8/29/2018,8:34:16,0.463,104,0,5.7,11.5,89.8,7.17,0.83,3.34,0.2,0.15,26.831,442.6,427.6,0.2,426,278,9,0,7.62,-73.2,5.466,4.066
T-1,8/29/2018,8:35:47,0.851,1XB,0,5.7,11.5,89.6,7.16,0.8,3.22,0.2,0.15,26.831,442.6,427.6,0.2,426,278,9.1,0,7.62,-73.5,6.691,4.93
T-1,8/29/2018,8:53:11,0.012,2XS,0,5.7,11.5,92.5,7.38,1.04,4.16,0.31,0.27,26.85,441.2,426.1,0.2,424.5,277,9.04,0,7.66,-75.6,0.414,0.502
T-1,8/29/2018,8:56:01,0.032,201,0,5.7,11.5,92.1,7.35,0.99,3.97,0.24,0.2,26.863,441.2,426,0.2,424.4,277,8.95,0,7.65,-75.3,1.11,0.993
T-1,8/29/2018,8:57:19,0.527,202,0,5.7,11.5,91.8,7.32,0.94,3.78,0.23,0.18,26.859,441.2,426.1,0.2,424.5,277,9.02,0,7.65,-75.2,2.415,1.914
T-1,8/29/2018,8:59:06,0.323,203,0,5.7,11.5,91.4,7.29,0.95,3.8,0.24,0.2,26.856,441.2,426.1,0.2,424.5,277,9,0,7.64,-74.5,3.946,2.994
T-1,8/29/2018,8:59:59,0.494,204,0,5.7,11.5,91.2,7.28,0.93,3.75,0.22,0.17,26.855,441.2,426.1,0.2,424.5,277,9.07,0,7.64,-74.6,5.253,3.915
T-1,8/29/2018,9:02:07,0.216,205,0,5.7,11.5,91,7.26,0.95,3.8,0.2,0.16,26.855,441.1,426,0.2,424.4,277,9.59,0,7.63,-73.7,6.92,5.091
T-1,8/29/2018,9:04:19,0.618,206,0,5.7,11.5,91.4,7.29,1.01,4.07,0.22,0.18,26.861,440.9,425.8,0.2,424.2,277,9.21,0,7.63,-74.2,8.3,6.065
T-1,8/29/2018,9:05:27,0.583,2XB,0,5.7,11.5,91.5,7.3,0.95,3.82,0.21,0.17,26.864,440.8,425.7,0.2,424,277,9.17,0,7.63,-74.2,9.164,6.674
