T Pos,ODO % sat_mean,ODO % sat_base,ODO mg/L_mean,ODO mg/L_base,Chlorophyll RFU_mean,Chlorophyll RFU_base,Chlorophyll µg/L_mean,Chlorophyll µg/L_base,BGA-PC RFU_mean,BGA-PC RFU_base,BGA-PC µg/L_mean,BGA-PC µg/L_base,Temp °C_mean,Temp °C_base,Cond µS/cm_mean,Cond µS/cm_base,SpCond µS/cm_mean,SpCond µS/cm_base,Sal psu_mean,Sal psu_base,nLF Cond µS/cm_mean,nLF Cond µS/cm_base,TDS mg/L_mean,TDS mg/L_base,Turbidity NTU_mean,Turbidity NTU_base,pH_mean,pH_base,pH mV_mean,pH mV_base,PAR_mean,PAR_MIN_mean,PAR_MAX_mean,ODO % sat_RCB,ODO mg/L_RCB,Chlorophyll RFU_RCB,Chlorophyll Âµg/L_RCB,BGA-PC RFU_RCB,BGA-PC Âµg/L_RCB,Temp Â°C_RCB,Cond ÂµS/cm_RCB,SpCond ÂµS/cm_RCB,Sal psu_RCB,nLF Cond ÂµS/cm_RCB,TDS mg/L_RCB,Turbidity NTU_RCB,pH_RCB,pH mV_RCB,Press psi a_RCB,Depth m_RCB,ODO % sat_Greenup,ODO mg/L_Greenup,Chlorophyll RFU_Greenup,Chlorophyll Âµg/L_Greenup,BGA-PC RFU_Greenup,BGA-PC Âµg/L_Greenup,Temp Â°C_Greenup,Cond ÂµS/cm_Greenup,SpCond ÂµS/cm_Greenup,Sal psu_Greenup,nLF Cond ÂµS/cm_Greenup,TDS mg/L_Greenup,Turbidity NTU_Greenup,pH_Greenup,pH mV_Greenup,Press psi a_Greenup,Depth m_Greenup
1,91.477,91.477,7.297,7.297,0.929,0.929,3.727,3.727,0.226,0.226,0.182,0.182,26.870,26.870,441.420,441.420,426.204,426.204,0.200,0.200,424.576,424.576,277.200,277.200,9.878,9.878,7.639,7.639,-74.519,-74.519,41.104,40.763,41.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,92.225,92.225,7.343,7.343,0.996,0.996,3.998,3.998,0.255,0.255,0.211,0.211,26.975,26.975,442.817,442.817,426.708,426.708,0.200,0.200,425.000,425.000,277.000,277.000,9.559,9.559,7.635,7.635,-74.208,-74.208,44.451,41.606,46.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,92.095,83.606,7.806,7.052,0.439,0.424,1.783,1.707,0.142,0.068,0.160,0.052,23.592,23.860,270.174,252.530,277.656,258.135,0.134,0.123,278.401,258.708,180.468,167.838,26.450,18.098,7.588,7.589,-64.505,-63.703,29.830,27.867,32.033,82.840,6.989,0.411,1.655,0.056,0.039,23.848,245.825,251.350,0.120,251.915,163.450,18.354,7.586,-64.185,-0.172,0.819,88.965,7.491,0.521,2.074,0.156,0.145,23.942,299.465,305.630,0.145,306.255,198.550,16.307,7.607,-60.330,1.460,1.031
4,93.807,93.807,7.443,7.443,0.992,0.992,3.979,3.979,0.246,0.246,0.205,0.205,27.174,27.174,447.827,447.827,429.973,429.973,0.201,0.201,428.060,428.060,279.267,279.267,9.597,9.597,7.654,7.654,-75.440,-75.440,165.608,160.291,171.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,85.178,78.442,6.964,6.389,0.494,0.563,2.002,2.254,0.124,0.283,0.134,0.288,25.550,25.751,289.911,300.307,286.906,296.053,0.140,0.142,286.611,295.604,186.500,192.333,64.818,47.570,7.431,7.447,-59.656,-56.824,7.095,6.649,7.373,78.400,6.391,0.586,2.359,0.284,0.291,25.708,295.875,291.925,0.140,291.513,189.625,47.548,7.466,-56.463,-0.157,1.032,78.600,6.380,0.473,1.854,0.281,0.275,25.912,317.150,311.737,0.150,311.150,202.625,47.654,7.373,-58.200,1.445,1.020
6,84.950,77.306,6.977,6.330,0.497,0.485,2.010,1.937,0.135,0.257,0.147,0.259,25.294,25.459,285.483,299.297,283.867,296.666,0.130,0.143,283.725,296.400,184.250,192.688,71.868,40.190,7.417,7.431,-59.058,-56.122,4.608,4.443,4.762,76.700,6.289,0.480,1.928,0.238,0.241,25.381,293.550,291.425,0.140,291.213,189.250,34.438,7.446,-55.200,-0.023,1.127,79.125,6.453,0.501,1.965,0.315,0.311,25.693,316.538,312.388,0.150,311.963,203.000,57.448,7.385,-58.888,1.490,1.052
7,84.644,72.940,6.964,5.998,0.516,0.553,2.096,2.213,0.178,0.308,0.188,0.311,25.216,25.228,280.067,295.968,278.911,294.656,0.130,0.143,278.778,294.513,181.556,191.667,74.531,56.521,7.407,7.401,-58.378,-54.668,1.438,1.346,1.522,70.650,5.817,0.578,2.330,0.318,0.325,25.164,288.275,287.350,0.140,287.250,187.000,57.637,7.408,-52.925,0.046,1.175,78.500,6.438,0.493,1.928,0.285,0.278,25.382,314.650,312.400,0.150,312.150,203.000,53.810,7.385,-58.900,1.558,1.100
8,90.396,84.092,7.567,7.032,0.576,0.461,2.338,1.849,0.194,0.101,0.212,0.084,24.256,24.312,346.543,328.817,351.547,333.192,0.168,0.159,352.046,333.644,228.476,216.528,31.252,13.498,7.634,7.591,-67.246,-62.744,6.632,6.087,7.331,80.492,6.735,0.413,1.667,0.050,0.031,24.280,323.017,327.525,0.158,327.992,212.833,14.130,7.566,-62.958,-0.162,0.826,91.292,7.626,0.555,2.211,0.202,0.191,24.376,340.417,344.525,0.162,344.950,223.917,12.233,7.641,-62.317,1.173,0.828
9,87.265,76.523,6.880,6.037,0.626,0.547,2.538,2.182,0.062,0.165,0.073,0.166,27.554,27.523,353.322,363.533,336.893,346.817,0.160,0.164,335.116,345.024,219.037,225.417,22.433,15.455,7.570,7.507,-68.065,-61.771,30.242,28.420,31.758,72.267,5.703,0.561,2.253,0.158,0.163,27.513,355.383,339.092,0.160,337.358,220.417,15.763,7.525,-60.083,0.153,1.251,83.617,6.593,0.525,2.063,0.177,0.172,27.540,377.117,359.692,0.170,357.800,233.750,14.942,7.478,-64.583,1.436,1.015
10,87.624,78.506,6.892,6.164,0.669,0.485,2.706,1.929,0.083,0.136,0.094,0.139,27.679,27.781,353.861,366.195,336.636,347.725,0.160,0.164,334.778,345.727,218.823,226.000,22.073,11.521,7.591,7.516,-69.456,-62.472,85.545,82.778,91.449,73.288,5.760,0.426,1.711,0.103,0.109,27.735,358.638,340.850,0.160,338.925,221.625,10.570,7.526,-60.050,0.191,1.278,85.813,6.730,0.567,2.234,0.184,0.181,27.846,376.775,357.350,0.170,355.250,232.125,12.851,7.502,-65.863,1.375,0.972
